title,start_date,start_time,end_date,end_time,is_all_day,summary,description,location,tags,categories,image,image_alt,is_starred,status,is_canceled,is_online,online_type,online_url,online_button_label,online_instructions,cost,related_content,has_registration,registrations_received
Women's Swimming & Diving vs. Thornbury,05/04/2026,5:00 PM,05/04/2026,7:00 PM,,Conference matchup against Thornbury.,<p>A conference matchup against Thornbury at the Aquatics Center.</p>,Aquatics Center,Swimming & Diving|Women's Sports,Athletics,serena-repice-lentini-Ue24S2JU81k-unsplash.jpg,A swimmer competing in a pool lane,,1,,,,,,,Free,,,
Computer Science Seminar: Advances in Machine Translation,05/05/2026,4:00 PM,05/05/2026,5:00 PM,,A researcher presents recent progress on low-resource language translation models.,"<p>This seminar covers recent progress on machine translation for low-resource languages, where limited training data has historically produced weaker results than well-represented languages like English or Mandarin.</p><p>The speaker discusses several techniques for improving performance without large parallel corpora, including transfer learning and synthetic data generation, and shares open problems the field is still working through.</p>","Computer Science Building, Room 140",Colloquium,Academic Events,wan-san-yip-ID1yWa1Wpx0-unsplash.jpg,A speaker presenting research to a seated audience,,1,,,,,,,,,,
Men's Rugby Conference Semifinal,05/05/2026,6:00 PM,05/05/2026,8:00 PM,,The team competes in the conference semifinal.,<p>The team competes in the conference semifinal on the intramural pitch.</p>,Intramural Fields,Rugby|Men's Sports,Athletics,davide-buttani-UKWHDxGuQ0k-unsplash.jpg,Rugby players competing on the field,,1,,,,,,,Free,,,
Master of Arts in Educational Leadership | Virtual Info Session,05/06/2026,12:00 PM,05/06/2026,1:00 PM,,An overview of the part-time Master of Arts in Educational Leadership program.,"<p>Designed for working educators, this program overview covers coursework, the required leadership practicum, and how the part-time evening schedule fits around a full-time teaching or administrative role.</p><p>Program staff also cover funding options, including several partial-tuition partnerships with regional school districts.</p>",,Seminar|Info Session,Academic Events,compagnons-eTgMFFzroGc-unsplash.jpg,A laptop set up for a video call,,1,,1,1,https://example.edu/webconference/ma-educational-leadership,Join Online,,,,,
Women's Cross Country Alumnae Fun Run,05/06/2026,,05/06/2026,,1,"Current runners and alumnae take on the home course together, just for fun.","<p>Current team members and returning alumnae run the home course together in an informal, non-competitive fun run, followed by a casual brunch.</p>",Cross Country Course,Cross Country|Alumni,Athletics,jorge-alberto-vega-barrera-1-nuy7fD3fw-unsplash.jpg,Runners competing on a cross country course,,1,,,,,,,,,,
"Museum Exhibit Opening: Layers of Time, New Perspectives on Local Archaeology",05/07/2026,,05/07/2026,,1,"Recent archaeological findings from a nearby excavation site, newly on display.","<p>This exhibit presents recent findings from a nearby excavation site, including tools, pottery fragments, and other artifacts recovered over the past two field seasons, alongside interpretive panels explaining the dig's methodology.</p><p>An opening reception runs from 4 to 6pm with a short talk from the excavation's lead researcher. The exhibit remains open through the end of the academic year.</p>","University Museum, East Gallery",Reception|Exhibit,Open to the Public|Academic Events,zalfa-imani-3hxlxmo2Oc0-unsplash.jpg,Artifacts displayed in museum cases,,1,,,,,,,Free,,,
Men's Water Polo Conference Semifinal,05/07/2026,6:00 PM,05/07/2026,8:00 PM,,The team competes in the conference semifinal.,<p>The team competes in the conference semifinal at the natatorium.</p>,Aquatics Center,Water Polo|Men's Sports,Athletics,emmanuel-lelievre-_yR4z2pn630-unsplash.jpg,Water polo players competing in the pool,,1,,,,,,,Free,,,
Blood Drive: Community Blood Center Visit,05/08/2026,10:00 AM,05/08/2026,4:00 PM,,"A third spring blood drive, held ahead of finals week.","<p>The regional blood center makes one more visit before finals week begins. Appointments are preferred but walk-ins are always welcome.</p><p>Every donor receives a small thank-you gift while supplies last, and returning donors are automatically entered into a drawing for a campus bookstore gift card.</p>","Student Union, Room 150",Service|Blood Drive,Community Outreach,nguy-n-hi-p-ufwC2cmbaaI-unsplash.jpg,A volunteer preparing a blood donation station,,1,,,,,,,Free,,,
Women's Tennis Conference Championships,05/08/2026,,05/08/2026,,1,The team competes for the conference title.,"<p>The team competes in the conference championship tournament, hosted this year on the home courts.</p>",Tennis Complex,Tennis|Women's Sports,Athletics,hoi-pham-eLZwsPO8cCQ-unsplash.jpg,A tennis player mid-serve on the court,,1,,,,,,,,,,
Alumni Career Panel: Paths After Graduation,05/09/2026,11:00 AM,05/09/2026,12:30 PM,,Five alumni across different industries trace how their careers unfolded.,"<p>Five alumni from different graduating years and industries trace how their careers actually unfolded — rarely in a straight line — and what surprised them most in the years right after graduation.</p><p>The panel is aimed at graduating seniors but open to students at any stage, and runs with an informal Q&amp;A for the second half.</p>",Alumni Center,Alumni|Panel,Open to the Public|Community Outreach,darya-tryfanava-d55fhArDES0-unsplash.jpg,Guests mingling and chatting at an event,,1,,,,,,,,,,
Coed Equestrian Conference Championship,05/09/2026,,05/09/2026,,1,Riders compete for the conference title.,<p>Riders compete across several classes for the conference title at this weekend's championship show.</p>,Offsite — Regional Equestrian Center,Equestrian,Athletics,gene-devine-YwjY-8Ivag4-unsplash.jpg,A rider competing on horseback,,1,,,,,,,,,,
Family Weekend Brunch,05/10/2026,10:00 AM,05/10/2026,12:00 PM,,A relaxed outdoor brunch for visiting families as the semester winds down.,"<p>As the semester winds toward finals, this outdoor brunch gives visiting family members a chance to see campus and meet their student's friends and professors in a relaxed setting.</p><p>Seating is first-come, first-served under tents on the quad, with a menu built around make-your-own waffle and omelet stations.</p>",Main Quad,Community,Open to the Public|Student Organizations,element5-digital-jCIMcOpFHig-unsplash.jpg,Families and students gathered together outdoors,,1,,,,,,,Free,,,
Men's Ice Hockey Conference Final,05/10/2026,3:00 PM,05/10/2026,5:00 PM,,The team competes for the conference title.,<p>The team competes for the conference title at the ice arena.</p>,Ice Arena,Ice Hockey|Men's Sports,Athletics,logan-weaver-lgnwvr-GXQP77GIsIU-unsplash.jpg,Ice hockey players competing on the rink,,1,,,,,,,Free,,,
Reading Period Begins — No Classes,05/11/2026,,05/11/2026,,1,Classes are suspended campus-wide to allow time for final exam preparation.,"<p>No classes are held during reading period so students can prepare for final exams and complete remaining coursework. Campus offices and the library remain open, with extended library hours starting today.</p><p>Many departments hold optional review sessions during reading period; check with individual instructors for times and locations, as these are not centrally scheduled.</p>",,Undergraduate|Graduate,Academic Calendar,,,,1,,,,,,,,,,
Late-Night Study Break: Snacks & Stress Relief,05/11/2026,9:00 PM,05/11/2026,11:00 PM,,"Free snacks, coffee, and low-key stress relief activities during reading period.","<p>Student affairs sets up free coffee, snacks, and a handful of low-key stress-relief activities — coloring pages, a puzzle table, a therapy-dog visit — to give students a short break during reading period.</p><p>No sign-up required, drop in any time during the two-hour window.</p>","Student Union, Main Lounge",Wellness|Student Event,Community Outreach|Student Organizations,jared-rice-xce530fBHrk-unsplash.jpg,Tables set up with snacks and stress-relief activities,,1,,,,,,,Free,,,
Wellness Workshop: Mindful Breathing for Finals,05/12/2026,12:00 PM,05/12/2026,1:00 PM,,A guided drop-in session on simple breathing techniques for exam stress.,"<p>Led by the wellness center, this guided session covers a few simple breathing techniques that can be used discreetly during an exam or study session to reduce acute stress.</p><p>Mats are provided, but the techniques work just as well seated at a desk, which the instructor demonstrates toward the end of the session.</p>",Wellness Center Studio,Wellness,Community Outreach,naassom-azevedo-Q_Sei-TqSlc-unsplash.jpg,A person sitting quietly outdoors,,1,,,,,,,Free,,,
Women's Swimming & Diving Conference Championships (Day 1),05/12/2026,,05/12/2026,,1,Preliminary heats and diving rounds open the conference championships.,"<p>Preliminary heats and diving rounds open the two-day conference championship meet, hosted this year at the home pool.</p>",Aquatics Center,Swimming & Diving|Women's Sports,Athletics,serena-repice-lentini-Ue24S2JU81k-unsplash.jpg,A swimmer competing in a pool lane,,1,,,,,,,,,,
Final Examination Period Begins,05/13/2026,,05/13/2026,,1,Final exams begin campus-wide and run through the end of the exam period.,"<p>Final exams begin today and continue through the end of the scheduled exam period. Check the registrar's posted exam schedule for individual course times and room assignments.</p><p>Students with three or more exams scheduled on the same day, or two exams scheduled at the same time, should contact the registrar's office as soon as possible to request a conflict accommodation.</p>",,Undergraduate|Graduate,Academic Calendar,,,,1,,,,,,,,,,
Women's Swimming & Diving Conference Championships (Day 2),05/13/2026,,05/13/2026,,1,Finals conclude the conference championship meet.,"<p>Championship finals wrap up the two-day meet, with team standings decided over the course of the afternoon.</p>",Aquatics Center,Swimming & Diving|Women's Sports,Athletics,serena-repice-lentini-Ue24S2JU81k-unsplash.jpg,A swimmer competing in a pool lane,,1,,,,,,,,,,
24-Hour Study Lounge Extended Hours Begin,05/14/2026,,05/14/2026,,1,The library's main study lounge stays open around the clock through the end of exams.,"<p>The library's main study lounge switches to 24-hour access through the end of the exam period, with free coffee available after regular library hours.</p><p>A campus safety officer is stationed near the entrance overnight, and the lounge's side door is card-access only between midnight and 6am for building security.</p>","Library, Main Study Lounge",Wellness,Community Outreach|Academic Calendar,,,,1,,,,,,,,,,
Men's Rugby Conference Championship,05/14/2026,6:00 PM,05/14/2026,8:00 PM,,The team competes for the conference title.,<p>The team competes for the conference title on the intramural pitch.</p>,Intramural Fields,Rugby|Men's Sports,Athletics,davide-buttani-UKWHDxGuQ0k-unsplash.jpg,Rugby players competing on the field,,1,,,,,,,Free,,,
Peer Support Circle,05/15/2026,3:00 PM,05/15/2026,4:00 PM,,"A peer-led, drop-in space for anyone who wants to talk through exam-week stress.","<p>With finals in full swing, this week's circle leans into exam-week stress specifically, though as always the conversation goes wherever attendees need it to go.</p><p>Trained student facilitators keep the space confidential and low-pressure; no sign-up required.</p>",Wellness Center Studio,Community|Wellness,Community Outreach,hannah-busing-Zyx1bK9mqmA-unsplash.jpg,A small group seated together in conversation,,1,,,,,,,Free,,,
Coed Sailing at Season-Ending Regatta,05/15/2026,,05/15/2026,,1,The team closes out its season at the final regatta of the year.,"<p>The team closes out its season at this final regatta, hosted at a neighboring club's marina.</p>",Offsite — Regional Sailing Center,Sailing,Athletics,ed-wingate-80lWoMl9guA-unsplash.jpg,Sailboats racing on open water,,1,,,,,,,,,,
Senior Athletics Awards Banquet,05/16/2026,6:00 PM,05/16/2026,8:30 PM,,An evening honoring graduating student-athletes across every varsity program.,"<p>Coaches and teammates gather to honor graduating student-athletes from every varsity program, with short remarks from each team's head coach and a few student speakers.</p><p>Dinner is served followed by a short awards presentation recognizing academic and athletic achievement across the season. Family members of graduating athletes are welcome to attend.</p>",Student Union Ballroom,Alumni,Athletics|Open to the Public,the-jopwell-collection-0UnuYI_HrTA-unsplash.jpg,Guests in conversation at an evening reception,1,1,,,,,,,Free,,,
Women's Equestrian Season Finale,05/16/2026,,05/16/2026,,1,The team closes out its season at the year's final show.,"<p>Riders close out the season at this final show of the year, hosted at a nearby equestrian center.</p>",Offsite — Regional Equestrian Center,Equestrian|Women's Sports,Athletics,gene-devine-YwjY-8Ivag4-unsplash.jpg,A rider competing on horseback,,1,,,,,,,,,,
Community Connections Mixer,05/17/2026,2:00 PM,05/17/2026,4:00 PM,,The semester's last drop-in mixer before finals wrap up.,"<p>This is the last mixer of the semester before everyone scatters for the summer, so it tends to run a little longer and a little louder than usual. Same easy format: light snacks, no obligation, come and go as you please.</p>","Student Union, Room 230",Community,Open to the Public|Student Organizations,hannah-busing-Zyx1bK9mqmA-unsplash.jpg,A small group seated together in conversation,,1,,,,,,,Free,,,
Women's Ice Hockey Senior Day,05/17/2026,1:00 PM,05/17/2026,3:00 PM,,The final home game of the season honors the graduating seniors.,<p>The final home game of the season honors the team's graduating seniors before puck drop.</p>,Ice Arena,Ice Hockey|Women's Sports,Athletics,logan-weaver-lgnwvr-GXQP77GIsIU-unsplash.jpg,Ice hockey players competing on the rink,,1,,,,,,,Free,,,
Final Examination Period Continues,05/18/2026,,05/18/2026,,1,Final exams continue through the end of the scheduled exam period.,<p>Final exams continue today; check the registrar's posted exam schedule for individual course times and room assignments.</p>,,Undergraduate|Graduate,Academic Calendar,,,,1,,,,,,,,,,
Late-Night Study Break: Breakfast for Dinner,05/18/2026,9:00 PM,05/18/2026,11:00 PM,,A free breakfast-for-dinner study break during the last stretch of exams.,"<p>Student affairs closes out the semester's study-break series with a free breakfast-for-dinner spread — pancakes, eggs, and coffee — to help fuel the last stretch of exams.</p><p>No sign-up required, drop in any time during the two-hour window.</p>","Student Union, Main Lounge",Wellness|Student Event,Community Outreach|Student Organizations,jared-rice-xce530fBHrk-unsplash.jpg,Tables set up with snacks and stress-relief activities,,1,,,,,,,Free,,,
Last Day of Final Examinations,05/19/2026,,05/19/2026,,1,The final day of the scheduled exam period.,<p>Today marks the last day of the scheduled final exam period. Grades are typically posted within a week of the exam period's close.</p>,,Undergraduate|Graduate,Academic Calendar,,,,1,,,,,,,,,,
Commencement Rehearsal,05/19/2026,10:00 AM,05/19/2026,12:00 PM,,A required walkthrough for graduating students planning to participate in commencement.,"<p>Graduating students planning to walk in Sunday's ceremony should attend this required walkthrough covering lineup order, seating, and procession logistics.</p><p>Caps, gowns, and hoods can be picked up immediately afterward at the bookstore for anyone who hasn't already collected regalia.</p>",Main Auditorium,,Academic Calendar,,,,1,,,,,,,,,,
Senior Class Toast,05/20/2026,5:00 PM,05/20/2026,6:30 PM,,"A celebratory toast for the graduating class, hosted by the alumni association.","<p>The alumni association hosts a celebratory toast for the graduating class on the eve of commencement week, with a few short remarks from the class's student speakers and a slideshow of photos submitted throughout the year.</p><p>Family members are welcome, and light refreshments are served on the terrace, weather permitting.</p>",Alumni Center,Community,Open to the Public|Student Organizations,vitaly-gariev-N9GPReiNkt0-unsplash.jpg,Guests in conversation at a reception,1,1,,,,,,,Free,,,
Residence Halls Close for Non-Graduates,05/20/2026,,05/20/2026,,1,Non-graduating students must check out of residence halls by 5pm today.,<p>All non-graduating students must check out of residence halls by 5pm today; graduating seniors participating in commencement may remain through Sunday evening.</p><p>Students needing a short extension for travel reasons should contact their residence hall office in advance — same-day extension requests are rarely able to be accommodated.</p>,Housing Office,,Dates & Deadlines,,,,1,,,,,,,,,,
Baccalaureate Service,05/21/2026,4:00 PM,05/21/2026,5:30 PM,,"A multi-faith service reflecting on the graduating class's time on campus, open to all.","<p>This multi-faith service brings together chaplains from several traditions for readings and reflection on the graduating class's time on campus. The service is open to graduates, families, and the wider campus community regardless of religious background.</p><p>Seating is general admission; doors open thirty minutes before the service begins.</p>",Main Auditorium,Community,Open to the Public|Academic Calendar,hannah-busing-Zyx1bK9mqmA-unsplash.jpg,A small group gathered together in a quiet hall,,1,,,,,,,Free,,,
Move-Out Help Squad Volunteer Shift,05/21/2026,9:00 AM,05/21/2026,1:00 PM,,Volunteers help students haul boxes and furniture during move-out.,"<p>Volunteers help students haul boxes, furniture, and mini-fridges from residence halls to cars and moving trucks during the busiest move-out days of the year.</p><p>Shifts are staffed by student athletes and club members who sign up in advance, but sign-up isn't required to pitch in — extra hands are always welcome.</p>",Residence Hall Quad,Volunteering,Community Outreach,logan-kuzyk-V3OYOpmY2Vk-unsplash.jpg,Volunteers helping carry boxes outdoors,,1,,,,,,,Free,,,
Grand Reception for Graduating Seniors,05/22/2026,5:00 PM,05/22/2026,7:00 PM,,A formal reception welcoming graduating seniors into the alumni community.,"<p>The alumni association formally welcomes graduating seniors into the alumni community with a reception the evening before commencement, complete with a photo backdrop and a keepsake pin for each graduate.</p><p>Faculty and staff are invited to attend and see off the students they've worked with over the past several years.</p>",Alumni Center,Alumni|Service,Open to the Public|Community Outreach,2h-media-rqZaKEjRrdQ-unsplash.jpg,Guests in conversation at a reception,1,1,,,,,,,Free,,,
Athletics Hall of Fame Induction Dinner,05/22/2026,6:30 PM,05/22/2026,9:00 PM,,This year's Athletics Hall of Fame class is formally inducted at a dinner ceremony.,"<p>This year's Athletics Hall of Fame class is formally inducted at a dinner ceremony, with remarks from current coaching staff and video tributes highlighting each inductee's career on campus.</p><p>Tickets are available through the athletics department; proceeds support student-athlete scholarships.</p>","Fieldhouse Arena, Club Level",Alumni,Athletics|Open to the Public,the-jopwell-collection-0UnuYI_HrTA-unsplash.jpg,Guests in conversation at an evening reception,,1,,,,,,,$40,,,
Women's Lacrosse vs. Silverton,05/23/2026,1:00 PM,05/23/2026,3:00 PM,,A season-closing matchup against Silverton.,<p>A season-closing matchup against Silverton on the main athletics field.</p>,"Athletics Complex, Turf Field",Lacrosse|Women's Sports,Athletics,jeffrey-f-lin-ghbW5qujVdU-unsplash.jpg,Lacrosse players competing on the field,,1,,,,,,,Free,,,
Commencement Eve Fireworks & Family Picnic,05/23/2026,6:00 PM,05/23/2026,9:00 PM,,A casual picnic on the quad capped off with a fireworks display.,"<p>Graduates and their families gather for a casual picnic dinner on the quad, capped off with a fireworks display once the sun goes down. Food trucks and lawn games are set up throughout the evening.</p><p>Blankets and low chairs are welcome; the quad fills up quickly, so arriving early for a good spot is recommended.</p>",Main Quad,Community,Open to the Public|Student Organizations,element5-digital-jCIMcOpFHig-unsplash.jpg,Families and students gathered together outdoors,,1,,,,,,,Free,,,
Commencement,05/24/2026,10:00 AM,05/24/2026,12:00 PM,,"The university's formal commencement ceremony, conferring degrees on this year's graduating class.","<p>The formal commencement ceremony conferring degrees on this year's graduating class caps off the academic year. The ceremony includes remarks from a keynote speaker, conferral of honorary degrees, and the reading of each graduate's name as they cross the stage.</p><p>Seating for family and friends is general admission on the main lawn, with an overflow livestream available on the large screens near the north entrance for guests who arrive after the reserved sections fill.</p><p>A campus-wide reception follows immediately after the ceremony, with light refreshments served across several locations near the main quad.</p>",Main Quad,Commencement,Open to the Public|Academic Calendar,owen-yin-qfTrgRUXLWA-unsplash.jpg,Rows of graduates seated at a ceremony,1,1,,,,,,,Free,,,
Campus Closed: Move-Out Weekend,05/24/2026,,05/24/2026,,1,Most campus offices are closed as the academic year wraps up.,<p>Most administrative offices are closed today as the academic year wraps up; residence halls close for the summer by 5pm for any remaining graduates.</p><p>Summer session classes begin the following week for students staying on or returning early; check the summer academic calendar for specific start dates by course.</p>,,,Academic Calendar,,,,1,,,,,,,,,,
